loan_id,borrower_id,portfolio,region,pd,lgd,ead,as_of_date
L0063,B0063,Mortgage,Ontario,0.0542,0.4322,511708,2026-05-22
L0064,B0018,Personal Loan,Ontario,0.0333,0.5468,876651,2026-05-22
L0065,B0044,Mortgage,Alberta,0.083,0.4247,71629,2026-05-22
L0066,B0034,Personal Loan,Ontario,0.0279,0.2954,338184,2026-05-22
L0067,B0074,Mortgage,Alberta,0.0966,0.4719,502734,2026-05-22
L0068,B0062,Mortgage,Ontario,0.0463,0.496,765195,2026-05-22
L0069,B0014,Mortgage,Quebec,0.0844,0.2953,300160,2026-05-22
L0070,B0048,Auto Loan,Ontario,0.0202,0.3511,558248,2026-05-22
L0071,B0015,Credit Card,Alberta,0.0417,0.4137,830023,2026-05-22
L0072,B0072,Auto Loan,Alberta,0.0703,0.3986,223920,2026-05-22
L0073,B0078,Mortgage,Alberta,0.0147,0.3558,899765,2026-05-22
L0074,B0062,Auto Loan,Alberta,0.0141,0.3191,252804,2026-05-22
L0075,B0040,Auto Loan,Alberta,0.097,0.24,386965,2026-05-22
L0076,B0053,Mortgage,British Columbia,0.0717,0.2214,470857,2026-05-22
L0077,B0024,Mortgage,British Columbia,0.0051,0.5834,832827,2026-05-22
L0078,B0026,Mortgage,Ontario,0.0405,0.5389,514492,2026-05-22
L0079,B0060,Credit Card,Alberta,0.0439,0.342,663983,2026-05-22
L0080,B0041,Auto Loan,Ontario,0.0747,0.5827,425916,2026-05-22
L0081,B0029,Personal Loan,Alberta,0.0258,0.4707,831052,2026-05-22
L0082,B0015,Mortgage,Alberta,0.0192,0.393,768574,2026-05-22
L0083,B0045,Credit Card,British Columbia,0.009,0.3972,138148,2026-05-22
L0084,B0065,Credit Card,British Columbia,0.0434,0.2333,816991,2026-05-22
L0085,B0071,Mortgage,Quebec,0.0692,0.2367,496261,2026-05-22
L0086,B0009,Auto Loan,British Columbia,0.0068,0.441,365540,2026-05-22
L0087,B0001,Credit Card,Quebec,0.0916,0.4215,202714,2026-05-22
L0088,B0008,Personal Loan,Quebec,0.0448,0.2851,741899,2026-05-22
L0089,B0063,Mortgage,Quebec,0.0247,0.5785,293876,2026-05-22
L0090,B0011,Mortgage,Quebec,0.0103,0.5125,269747,2026-05-22
L0091,B0008,Credit Card,Quebec,0.0191,0.2454,625650,2026-05-22
L0092,B0035,Credit Card,Ontario,0.0935,0.5724,433570,2026-05-22
L0093,B0035,Mortgage,British Columbia,0.0642,0.5897,285987,2026-05-22
L0094,B0033,Mortgage,Quebec,0.0522,0.5984,648353,2026-05-22
L0095,B0005,Personal Loan,Alberta,0.0661,0.2223,868158,2026-05-22
L0096,B0041,Mortgage,British Columbia,0.0441,0.4948,27640,2026-05-22
L0097,B0028,Auto Loan,British Columbia,0.0733,0.4184,62528,2026-05-22
L0098,B0007,Credit Card,Quebec,0.0057,0.4823,834845,2026-05-22
L0099,B0073,Credit Card,Ontario,0.057,0.5875,269214,2026-05-22
L0100,B0072,Credit Card,Quebec,0.0167,0.4752,849070,2026-05-22
L0001,B0052,Mortgage,Quebec,0.0649,0.2481,223945,2026-05-22
